total_trades,win_rate,profit_factor,total_return,sharpe,avg_win,avg_loss,symbol,fast_ema,slow_ema,breakout_period,use_volume,volume_threshold,take_profit,stop_loss,trailing_stop
60,0.5,1.8095413572613983,0.7808188413849948,3.627962770938835,0.04787993163194875,0.026459705626408755,ETH/USD,9,21,30,True,1.5,0.08,0.025,0.04
79,0.4430379746835443,1.557690339485433,0.7733667876319996,2.8209663624966503,0.05250011196529706,0.026809855361537124,ETH/USD,12,26,20,False,1.0,0.08,0.025,0.04
91,0.3956043956043956,1.4776428369365353,0.7682930969486548,2.659114673826884,0.05604903074399793,0.024827811828480425,ETH/USD,5,13,20,True,1.2,0.06,0.02,0.035
100,0.42,1.4876945902667595,0.762430086526135,2.7236647736425637,0.0461067703349725,0.022442550705963304,ETH/USD,5,13,30,False,1.0,0.05,0.02,0.03
100,0.42,1.4876945902667595,0.762430086526135,2.7236647736425637,0.0461067703349725,0.022442550705963304,ETH/USD,9,21,30,False,1.0,0.05,0.02,0.03
69,0.4492753623188406,1.719170123648747,0.7570755184743397,3.756220104637849,0.04727182838304417,0.022431671808515626,ETH/USD,20,50,30,True,1.5,0.05,0.02,0.03
71,0.39436619718309857,1.6343659180902215,0.7556248748095943,3.3375689907601855,0.057507909709241085,0.022912256404132955,ETH/USD,20,50,20,True,1.5,0.06,0.02,0.035
74,0.3783783783783784,1.580512442444089,0.7301141067875917,3.1113966115304943,0.05971244458244633,0.022996785360199137,ETH/USD,20,50,15,True,1.5,0.06,0.02,0.035
80,0.375,1.5305983391834812,0.7210053667370674,2.9018997395702266,0.058881162513782274,0.02308162540351112,ETH/USD,20,50,10,True,1.2,0.06,0.02,0.035
70,0.44285714285714284,1.6205377595490988,0.7141833315972497,3.0174354977638207,0.05151854132049976,0.02526978169271202,ETH/USD,12,26,10,True,1.2,0.08,0.025,0.04
102,0.4215686274509804,1.426743409781522,0.6947779983992587,2.4872818521829503,0.04653569825476566,0.023771511855649977,ETH/USD,9,21,10,True,1.2,0.05,0.02,0.03
107,0.411214953271028,1.3828666262246307,0.6761600213288476,2.3065284017678698,0.04874124960196827,0.024616623912209357,ETH/USD,5,13,10,True,1.2,0.05,0.02,0.03
75,0.37333333333333335,1.533658500241327,0.6691903760648195,2.9135147864097894,0.05929718981910071,0.02303380147443934,ETH/USD,20,50,20,True,1.2,0.06,0.02,0.035
61,0.47540983606557374,1.6656281732153826,0.651014734490477,3.1722765389241485,0.04884872263003423,0.02657805361085476,ETH/USD,20,50,10,True,1.5,0.08,0.025,0.04
63,0.47619047619047616,1.6475265139725481,0.650928075405855,3.0825404158928764,0.04817962069022127,0.026585098814171943,ETH/USD,5,13,30,True,1.2,0.08,0.025,0.04
63,0.47619047619047616,1.6475265139725481,0.650928075405855,3.0825404158928764,0.04817962069022127,0.026585098814171943,ETH/USD,9,21,30,True,1.2,0.08,0.025,0.04
73,0.4383561643835616,1.5932275481780438,0.6460335253790636,3.2178381471119977,0.046047202710504165,0.022557531223581194,ETH/USD,20,50,30,True,1.2,0.05,0.02,0.03
80,0.3625,1.4978678189825096,0.6433589854342892,2.7062442648550937,0.058540242800467386,0.022223315449833903,ETH/USD,20,50,30,False,1.0,0.06,0.02,0.035
101,0.40594059405940597,1.415175706940606,0.6239033440898358,2.3613620223727203,0.04591357507027369,0.022169880491975623,ETH/USD,12,26,30,False,1.0,0.05,0.02,0.03
97,0.4020618556701031,1.4200015213189499,0.6226812622967626,2.4316405731523356,0.04766737199921732,0.02257194653108227,ETH/USD,12,26,10,True,1.2,0.05,0.02,0.03
92,0.41304347826086957,1.4377170436023115,0.6198335331533968,2.5253053656343414,0.04717214515030766,0.023088836152868455,ETH/USD,12,26,20,True,1.2,0.05,0.02,0.03
67,0.44776119402985076,1.5652164273275684,0.6044784551656353,2.788981169905681,0.050052521510748745,0.02592812395826108,ETH/USD,12,26,15,True,1.5,0.08,0.025,0.04
82,0.4024390243902439,1.4127721161879725,0.5944750159522697,2.243264055628194,0.057995785055211614,0.027646628501487962,ETH/USD,12,26,15,False,1.0,0.08,0.025,0.04
74,0.4189189189189189,1.5394719496714464,0.5869666195759373,2.9728316337037772,0.04715055178212158,0.02208046614216266,ETH/USD,20,50,20,True,1.5,0.05,0.02,0.03
115,0.33043478260869563,1.3218365547758946,0.5797290927519613,1.8400895166460673,0.05987114923338666,0.02235283992836923,ETH/USD,9,21,10,False,1.0,0.06,0.02,0.035
60,0.48333333333333334,1.6187064796036774,0.5779016565514193,2.9601876166901753,0.04685945326744316,0.027081044825861548,ETH/USD,12,26,30,True,1.5,0.08,0.025,0.04
78,0.358974358974359,1.4512788634080362,0.5744823908745117,2.529729262265541,0.05987633313679193,0.023104275409801856,ETH/USD,20,50,15,True,1.2,0.06,0.02,0.035
63,0.4603174603174603,1.5728572706812538,0.5736412025259419,2.835226202016529,0.04912460070888434,0.026639667504054786,ETH/USD,20,50,10,True,1.2,0.08,0.025,0.04
81,0.4074074074074074,1.475666740060373,0.5723735960229019,2.6960696605797523,0.04768321082029117,0.02221518351603492,ETH/USD,20,50,10,True,1.5,0.05,0.02,0.03
107,0.35514018691588783,1.3285068049627224,0.566342922787411,1.9323124783646934,0.05725570988981841,0.023735015858750232,ETH/USD,12,26,20,False,1.0,0.06,0.02,0.035
110,0.34545454545454546,1.318943796797752,0.5648556928731885,1.8803815617767918,0.0587752015473455,0.023519004628106747,ETH/USD,12,26,15,False,1.0,0.06,0.02,0.035
94,0.40425531914893614,1.4618140419828267,0.5586035950034458,2.61404503741201,0.04088595942104582,0.018979188252440153,ETH/USD,12,26,20,True,1.5,0.04,0.015,0.025
102,0.39215686274509803,1.4267565816522836,0.5556689875040774,2.436257099611451,0.04111513935134975,0.01859174627040492,ETH/USD,12,26,10,True,1.5,0.04,0.015,0.025
116,0.31896551724137934,1.3048145404023255,0.5498910353114236,1.7585965718231638,0.062082128338883186,0.02228396370104411,ETH/USD,5,13,15,False,1.0,0.06,0.02,0.035
100,0.41,1.3538959183624115,0.5451348847711448,2.1302908647670296,0.04711181080981631,0.02418111727973982,ETH/USD,9,21,20,True,1.2,0.05,0.02,0.03
87,0.40229885057471265,1.4447285988272136,0.5442877451549352,2.482560629576322,0.04551983571902203,0.021206994164577095,ETH/USD,20,50,30,False,1.0,0.05,0.02,0.03
71,0.43661971830985913,1.4530416563373743,0.5233980101383657,2.3188540866376104,0.051891468676520315,0.02767703737116104,ETH/USD,9,21,10,True,1.5,0.08,0.025,0.04
105,0.4095238095238095,1.320359058973615,0.507566091989095,1.9529772030301273,0.04625690680491064,0.024297483997701465,ETH/USD,5,13,15,True,1.2,0.05,0.02,0.03
96,0.3958333333333333,1.3567501342994486,0.5049909237541298,2.1161790854765874,0.04738921106328114,0.02288417226957732,ETH/USD,12,26,15,True,1.2,0.05,0.02,0.03
66,0.45454545454545453,1.491956214125313,0.49470788470466903,2.4840026787496345,0.047280091743906606,0.026408332952555534,ETH/USD,12,26,20,True,1.5,0.08,0.025,0.04
103,0.4077669902912621,1.321122758610272,0.4943417464295586,1.950253838357038,0.04625708422357455,0.024107630990112015,ETH/USD,9,21,15,True,1.2,0.05,0.02,0.03
99,0.3939393939393939,1.38920868350363,0.4884045221303644,2.268490572537481,0.040866389518501404,0.019121067628250613,ETH/USD,12,26,15,True,1.5,0.04,0.015,0.025
144,0.3680555555555556,1.278988280138496,0.4780982034033812,1.6400991050128226,0.039591768083836215,0.018029048591851476,ETH/USD,5,13,20,False,1.0,0.04,0.015,0.025
102,0.4019607843137255,1.3124278512541627,0.4754668920578548,1.9106074708338576,0.04703700887181578,0.024088972753586013,ETH/USD,5,13,20,True,1.2,0.05,0.02,0.03
73,0.4657534246575342,1.4099721579945264,0.47185979612591855,2.146318472268431,0.047052315453835585,0.029092749871794065,ETH/USD,5,13,10,True,1.5,0.08,0.025,0.04
143,0.3706293706293706,1.2740433257994446,0.4629462287859857,1.618828212957694,0.03914361591408287,0.01809298005487636,ETH/USD,9,21,20,False,1.0,0.04,0.015,0.025
63,0.4603174603174603,1.4819838842184796,0.4628114238751865,2.4399498505061117,0.04716947643117335,0.02714792593167998,ETH/USD,12,26,30,True,1.2,0.08,0.025,0.04
71,0.4225352112676056,1.4109333061383813,0.4458528103997025,2.1621316431848774,0.05031920365363718,0.0260954428834287,ETH/USD,12,26,15,True,1.2,0.08,0.025,0.04
119,0.35294117647058826,1.3193992282283198,0.44382564437379207,1.8303468940387437,0.04158646432877705,0.017192314132223677,ETH/USD,5,13,30,False,1.0,0.04,0.015,0.025
119,0.35294117647058826,1.3193992282283198,0.44382564437379207,1.8303468940387437,0.04158646432877705,0.017192314132223677,ETH/USD,9,21,30,False,1.0,0.04,0.015,0.025
100,0.35,1.3791964237602312,0.44084365212394494,2.119865226566192,0.042829346772901365,0.01672129912559028,ETH/USD,20,50,30,False,1.0,0.04,0.015,0.025
102,0.38235294117647056,1.340126951755893,0.4294667518256909,2.017671281325131,0.04110055629989061,0.01898566511601241,ETH/USD,12,26,20,True,1.2,0.04,0.015,0.025
58,0.46551724137931033,1.5002920173842018,0.4270475106259057,2.5042281638867703,0.0458609351063675,0.026623746997124602,ETH/USD,20,50,20,True,1.5,0.08,0.025,0.04
81,0.41975308641975306,1.3386198670890828,0.4267837479360489,1.8625759158350086,0.051019883948094494,0.027571681895174303,ETH/USD,20,50,10,False,1.0,0.08,0.025,0.04
79,0.3924050632911392,1.3837662673404738,0.4257114716528693,2.2344955482558118,0.04729594457305612,0.022074029594226108,ETH/USD,20,50,15,True,1.5,0.05,0.02,0.03
117,0.3504273504273504,1.3115422998736943,0.41980497959446983,1.7809063270975383,0.04161239096026652,0.01711632927302891,ETH/USD,12,26,30,False,1.0,0.04,0.015,0.025
93,0.3333333333333333,1.3028973256931287,0.41847175788601215,1.777252924669703,0.05896502162481953,0.02262842223329099,ETH/USD,20,50,20,False,1.0,0.06,0.02,0.035
80,0.4,1.3747418436228893,0.4173322178741633,2.189195862168514,0.045929716003360405,0.022273134996905187,ETH/USD,20,50,20,True,1.2,0.05,0.02,0.03
87,0.39080459770114945,1.338801227325289,0.41268670692458237,2.0188634525500606,0.046699719650876576,0.022376966877511888,ETH/USD,20,50,10,True,1.2,0.05,0.02,0.03
61,0.4426229508196721,1.4441520304921234,0.41078084110248947,2.2955351134751028,0.049004218568505696,0.026946688384544223,ETH/USD,20,50,15,True,1.5,0.08,0.025,0.04
136,0.3602941176470588,1.2604730574880463,0.4076863901445578,1.534793282854098,0.040025474863852106,0.017884621499910516,ETH/USD,12,26,20,False,1.0,0.04,0.015,0.025
115,0.3565217391304348,1.3034796845018333,0.4051813047399144,1.7647442815829066,0.04124635235171618,0.01753207894770083,ETH/USD,20,50,20,False,1.0,0.04,0.015,0.025
88,0.38636363636363635,1.3803773795285654,0.4035697652954603,2.1912157189828987,0.04076709357774597,0.01859503814761076,ETH/USD,12,26,30,True,1.5,0.04,0.015,0.025
76,0.40789473684210525,1.336929963789662,0.4002520704873099,1.8275570123724052,0.05400775148556829,0.027828937132067945,ETH/USD,9,21,10,True,1.2,0.08,0.025,0.04
92,0.3804347826086957,1.3548869087645001,0.39280383098077254,2.0671225445503607,0.04100961198112444,0.018585566461134823,ETH/USD,12,26,30,True,1.2,0.04,0.015,0.025
55,0.45454545454545453,1.485314370874734,0.3907118929319939,2.4300939190341486,0.04720939273807485,0.0264867568687789,ETH/USD,20,50,30,True,1.5,0.08,0.025,0.04
85,0.3764705882352941,1.3779813021157858,0.3822878923344137,2.190070794466164,0.041483546689865154,0.018176349462132733,ETH/USD,20,50,20,True,1.5,0.04,0.015,0.025
122,0.36885245901639346,1.2310097824373802,0.37588725142988844,1.4194361542616596,0.04722331596017814,0.02241902719917108,ETH/USD,9,21,20,False,1.0,0.05,0.02,0.03
60,0.45,1.4269966423276335,0.374147134504647,2.220967694527287,0.04654055137275425,0.026684458681859792,ETH/USD,20,50,20,True,1.2,0.08,0.025,0.04
72,0.4166666666666667,1.338759376106616,0.3647762420884121,1.8606477357934712,0.050354938192474136,0.026866525558331536,ETH/USD,20,50,20,False,1.0,0.08,0.025,0.04
70,0.42857142857142855,1.3538015098969391,0.3607757286468715,1.9050911285722698,0.04789174638365468,0.02653181395142291,ETH/USD,12,26,20,True,1.2,0.08,0.025,0.04
104,0.33653846153846156,1.245749663782842,0.3586073325271902,1.471268870055608,0.05625980852272963,0.022907960453797324,ETH/USD,20,50,10,False,1.0,0.06,0.02,0.035
63,0.42857142857142855,1.3702509460703698,0.3446656852388529,1.980735949279416,0.04930053206060397,0.026984399574028164,ETH/USD,20,50,15,True,1.2,0.08,0.025,0.04
90,0.36666666666666664,1.318324915513229,0.336419260403199,1.8921505359892008,0.04171905247792961,0.018321079546398646,ETH/USD,20,50,20,True,1.2,0.04,0.015,0.025
94,0.3617021276595745,1.305802402666202,0.3343874783210515,1.8227060655549103,0.041718017944998034,0.018103972025601555,ETH/USD,20,50,10,True,1.5,0.04,0.015,0.025
79,0.43037974683544306,1.2843153030733676,0.33311525599159086,1.5901628870089743,0.04934560181904029,0.02902974332501462,ETH/USD,5,13,10,True,1.2,0.08,0.025,0.04
89,0.38202247191011235,1.2518259665769127,0.3322057135003852,1.4556362074187477,0.055461865445558846,0.027388405206710823,ETH/USD,12,26,10,False,1.0,0.08,0.025,0.04
57,0.43859649122807015,1.3993296849504826,0.326777908127869,2.080885857549192,0.04756901960800187,0.02655792767668367,ETH/USD,20,50,30,True,1.2,0.08,0.025,0.04
90,0.36666666666666664,1.3007795136853229,0.3151625085833046,1.8026740693003316,0.04144230991810601,0.01844502931968945,ETH/USD,20,50,15,True,1.5,0.04,0.015,0.025
124,0.3629032258064516,1.199906063603671,0.31494704814908253,1.2447300222793225,0.04722331596017814,0.022417885873265653,ETH/USD,5,13,20,False,1.0,0.05,0.02,0.03
99,0.31313131313131315,1.2283671403617984,0.31287635735921904,1.3832119811644223,0.06110796674612112,0.02267892289553404,ETH/USD,20,50,15,False,1.0,0.06,0.02,0.035
116,0.3275862068965517,1.1972644856265857,0.30884434253883664,1.2179340604719215,0.05787800439888382,0.02355116754946882,ETH/USD,12,26,10,False,1.0,0.06,0.02,0.035
70,0.42857142857142855,1.300146605822201,0.3044255810045719,1.6456049714913341,0.049066492398639076,0.02830439977629092,ETH/USD,9,21,20,True,1.5,0.08,0.025,0.04
117,0.358974358974359,1.2037866278985412,0.30327446054219653,1.266561953265884,0.04796239312229803,0.02231204395032593,ETH/USD,20,50,10,False,1.0,0.05,0.02,0.03
83,0.3614457831325301,1.3141316225581963,0.29686015756715367,1.8512890983604375,0.04164764577876712,0.017938948211416988,ETH/USD,20,50,30,True,1.2,0.04,0.015,0.025
72,0.4166666666666667,1.2808725759337223,0.29012098009029524,1.5407650509934576,0.050704561921525074,0.028275680899217576,ETH/USD,9,21,15,True,1.5,0.08,0.025,0.04
92,0.3804347826086957,1.2212334566954681,0.2852849521322594,1.291401327977796,0.05437615317142922,0.027340281089910008,ETH/USD,9,21,10,False,1.0,0.08,0.025,0.04
80,0.3625,1.3154486777078704,0.28486396522139457,1.8546026963508573,0.04138531502300073,0.01788958139404927,ETH/USD,20,50,30,True,1.5,0.04,0.015,0.025
92,0.3695652173913043,1.268774295800861,0.28036687324010434,1.6256011251084612,0.04023918692743972,0.01859155640728826,ETH/USD,5,13,30,True,1.5,0.04,0.015,0.025
92,0.3695652173913043,1.268774295800861,0.28036687324010434,1.6256011251084612,0.04023918692743972,0.01859155640728826,ETH/USD,9,21,30,True,1.5,0.04,0.015,0.025
132,0.36363636363636365,1.1788020318310366,0.2785916432048136,1.1096661834303179,0.04481829447236493,0.021725831219028137,ETH/USD,9,21,10,False,1.0,0.05,0.02,0.03
85,0.3764705882352941,1.2533875368136567,0.2778554739344992,1.5517235933791091,0.046187481775016415,0.022249129363420894,ETH/USD,20,50,15,True,1.2,0.05,0.02,0.03
96,0.3645833333333333,1.2503909983308619,0.2705459537554909,1.5276263483348511,0.0404967883779698,0.018582877048138078,ETH/USD,5,13,30,True,1.2,0.04,0.015,0.025
96,0.3645833333333333,1.2503909983308619,0.2705459537554909,1.5276263483348511,0.0404967883779698,0.018582877048138078,ETH/USD,9,21,30,True,1.2,0.04,0.015,0.025
77,0.38961038961038963,1.2478506403725447,0.2674640801497826,1.4162784786698865,0.05278480399874753,0.027000369270354416,ETH/USD,20,50,15,False,1.0,0.08,0.025,0.04
107,0.3644859813084112,1.22203404978842,0.26550604351026996,1.3829182135429223,0.04011311187786161,0.018826029817536605,ETH/USD,5,13,20,True,1.5,0.04,0.015,0.025
113,0.35398230088495575,1.2112331191039858,0.26472655805956746,1.3141739534399117,0.04112222833962685,0.018603130563337348,ETH/USD,12,26,10,True,1.2,0.04,0.015,0.025
71,0.4225352112676056,1.2656764255462374,0.26420446544820514,1.4797364641100024,0.049066492398639076,0.028366105891325814,ETH/USD,5,13,20,True,1.5,0.08,0.025,0.04
166,0.35542168674698793,1.159487042753337,0.2589034916076165,0.976660122547043,0.03703766877931524,0.01761351273551615,ETH/USD,9,21,10,False,1.0,0.04,0.015,0.025
50,0.4,1.4999381686634388,0.2559179929810607,2.574436212620563,0.03773081472053273,0.016769942258866053,BTC/USD,20,50,20,False,1.0,0.05,0.02,0.03
115,0.3565217391304348,1.2002801532156973,0.25145894364627946,1.2570760286451224,0.04035802775737803,0.01862942483277321,ETH/USD,9,21,10,True,1.5,0.04,0.015,0.025
107,0.3644859813084112,1.2106909939448782,0.2502754812626739,1.322631246062658,0.04011311187786161,0.019002412320256554,ETH/USD,9,21,20,True,1.5,0.04,0.015,0.025
159,0.3270440251572327,1.1568177248204174,0.24583801179870607,0.96189546915821,0.041192333977994336,0.01730497720913215,ETH/USD,5,13,15,False,1.0,0.04,0.015,0.025
